rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
6,2,OLD,20264148,어떻게 해야 했을까?,2026-07-29,31604660,0.6,-24973140,-44.1,275050480,3147,-2287,-42.1,27155,59,103,2026-08-03,2026-08-09 10:17:35
7,0,OLD,20262902,다윗,2026-07-10,29609230,0.6,-65013720,-68.7,2593378990,3085,-6832,-68.9,266434,171,199,2026-08-03,2026-08-09 10:17:35
8,1,OLD,20242402,눈동자,2026-06-24,15303850,0.3,-9747450,-38.9,15876970350,1489,-852,-36.4,1538864,164,185,2026-08-03,2026-08-09 10:17:35
9,1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,7537100,0.1,-5249400,-41.1,382904050,845,-566,-40.1,42841,112,112,2026-08-03,2026-08-09 10:17:35
10,0,NEW,20250654,오디세이,2026-08-05,6102000,0.1,6102000,100.0,16710000,678,678,100.0,1302,2,2,2026-08-03,2026-08-09 10:17:35
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,3631265270,78.5,-543196880,-13.0,43621973470,348289,-53491,-13.3,4134157,2214,8852,2026-08-04,2026-08-09 10:17:35
2,0,OLD,20233219,호프,2026-07-15,582039140,12.6,-36232160,-5.9,45478627690,61234,-2693,-4.2,4235706,919,2690,2026-08-04,2026-08-09 10:17:35
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,110418150,2.4,-2623650,-2.3,7377223240,12337,-117,-0.9,738731,668,1029,2026-08-04,2026-08-09 10:17:35
4,0,OLD,20259781,토이 스토리 5,2026-06-17,73375740,1.6,2148350,3.0,30096201910,7890,436,5.8,2927554,385,488,2026-08-04,2026-08-09 10:17:35
5,0,OLD,20259946,모아나,2026-07-08,63551500,1.4,-1616840,-2.5,10755495370,6864,-122,-1.7,1013797,444,603,2026-08-04,2026-08-09 10:17:35
6,1,OLD,20262902,다윗,2026-07-10,28581200,0.6,-1028030,-3.5,2621960190,3059,-26,-0.8,269493,178,204,2026-08-04,2026-08-09 10:17:35
7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,29506850,0.6,-2097810,-6.6,304557330,2991,-156,-5.0,30146,56,104,2026-08-04,2026-08-09 10:17:35
8,0,OLD,20242402,눈동자,2026-06-24,13952100,0.3,-1351750,-8.8,15890922450,1369,-120,-8.1,1540233,168,189,2026-08-04,2026-08-09 10:17:35
9,1,OLD,20250654,오디세이,2026-08-05,12681000,0.3,6579000,107.8,29391000,1065,387,57.1,2367,3,3,2026-08-04,2026-08-09 10:17:35
10,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,10966800,0.2,10966800,100.0,318006120,916,916,100.0,27410,3,6,2026-08-04,2026-08-09 10:17:35
1,8,OLD,20250654,오디세이,2026-08-05,3136594240,44.8,3123913240,24634.6,3165985240,292710,291645,27384.5,295077,1682,5036,2026-08-05,2026-08-09 10:17:34
2,-1,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2725406730,38.9,-905858540,-24.9,46347380200,275181,-73108,-21.0,4409338,1666,5657,2026-08-05,2026-08-09 10:17:34
3,7,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,659585480,9.4,648618680,5914.4,977591600,73165,72249,7887.4,100575,824,1751,2026-08-05,2026-08-09 10:17:34
4,-2,OLD,20233219,호프,2026-07-15,290978170,4.2,-291060970,-50.0,45769605860,30070,-31164,-50.9,4265776,690,1164,2026-08-05,2026-08-09 10:17:34
5,-2,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,46022250,0.7,-64395900,-58.3,7423245490,5312,-7025,-56.9,744043,302,340,2026-08-05,2026-08-09 10:17:34
6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39024770,0.6,9517920,32.3,343582100,4132,1141,38.1,34278,74,140,2026-08-05,2026-08-09 10:17:34
